tag,verdict,k_star,regL_c4,zeroabl_delta,swap_delta,k,k_delta,rel_edit_norm
base,METRIC_OR_SITE_SUSPECT,,4,-7.67266,0.129375,1,0.000625,0.032777
base,METRIC_OR_SITE_SUSPECT,,4,-7.67266,0.129375,2,-0.000625,0.065554
base,METRIC_OR_SITE_SUSPECT,,4,-7.67266,0.129375,4,-0.001875,0.131108
base,METRIC_OR_SITE_SUSPECT,,4,-7.67266,0.129375,8,-0.04,0.262216
base,METRIC_OR_SITE_SUSPECT,,4,-7.67266,0.129375,16,-0.10625,0.524432
base,METRIC_OR_SITE_SUSPECT,,4,-7.67266,0.129375,32,-0.231563,1.04886
instruct,METRIC_OR_SITE_SUSPECT,,4,-7.67266,-0.00625,1,0,0.0349096
instruct,METRIC_OR_SITE_SUSPECT,,4,-7.67266,-0.00625,2,0.00375,0.0698191
instruct,METRIC_OR_SITE_SUSPECT,,4,-7.67266,-0.00625,4,-0.005,0.139638
instruct,METRIC_OR_SITE_SUSPECT,,4,-7.67266,-0.00625,8,-0.0575,0.279276
instruct,METRIC_OR_SITE_SUSPECT,,4,-7.67266,-0.00625,16,-0.141875,0.558553
instruct,METRIC_OR_SITE_SUSPECT,,4,-7.67266,-0.00625,32,-0.292188,1.11711
