tag,verdict,layer,emit_Pprime_rate,emit_true_rate,fullprod_logprob_delta
base,PRODUCT_NOT_AT_EQUALS,19,0,0.9,0.587897
base,PRODUCT_NOT_AT_EQUALS,21,0,0.933333,0.61451
base,PRODUCT_NOT_AT_EQUALS,23,0,0.916667,0.657465
base,PRODUCT_NOT_AT_EQUALS,25,0,0.916667,0.528207
base,PRODUCT_NOT_AT_EQUALS,27,0,0.916667,0.532167
base,PRODUCT_NOT_AT_EQUALS,29,0,0.933333,0.229563
base,PRODUCT_NOT_AT_EQUALS,31,0,0.916667,0.000636546
instruct,PRODUCT_NOT_AT_EQUALS,19,0,0.95,0.11716
instruct,PRODUCT_NOT_AT_EQUALS,21,0,0.933333,0.135483
instruct,PRODUCT_NOT_AT_EQUALS,23,0,0.916667,0.14925
instruct,PRODUCT_NOT_AT_EQUALS,25,0,0.916667,0.120866
instruct,PRODUCT_NOT_AT_EQUALS,27,0,0.933333,0.126575
instruct,PRODUCT_NOT_AT_EQUALS,29,0,0.933333,0.0491261
instruct,PRODUCT_NOT_AT_EQUALS,31,0,0.916667,0.000636546
