tag,verdict,layer_star,k_star,swap_flip,inj_layer,k,inject_flip,inject_logit_diff_delta
base,CALIBRATED,4,1,1,4,1,1,0
base,CALIBRATED,4,1,1,4,4,1,0
base,CALIBRATED,4,1,1,4,16,1,0
base,CALIBRATED,4,1,1,16,1,1,0
base,CALIBRATED,4,1,1,16,4,1,0
base,CALIBRATED,4,1,1,16,16,0.77,0
base,CALIBRATED,4,1,1,26,1,1,0
base,CALIBRATED,4,1,1,26,4,0.965,0
base,CALIBRATED,4,1,1,26,16,0.67,0
instruct,CALIBRATED,4,1,1,4,1,1,0
instruct,CALIBRATED,4,1,1,4,4,1,0
instruct,CALIBRATED,4,1,1,4,16,1,0
instruct,CALIBRATED,4,1,1,16,1,1,0
instruct,CALIBRATED,4,1,1,16,4,1,0
instruct,CALIBRATED,4,1,1,16,16,0.89,0
instruct,CALIBRATED,4,1,1,26,1,1,0
instruct,CALIBRATED,4,1,1,26,4,0.995,0
instruct,CALIBRATED,4,1,1,26,16,0.76,0
