tag,site,layer,k,mean_delta,ci_lo,ci_hi,emit_Pprime_rate,verdict
base,C4_ref,23,1,0.0832495,0.0643919,0.103021,0,WEAK_INSTRUMENT
base,C4_ref,23,2,0.152679,0.121126,0.185782,0,WEAK_INSTRUMENT
base,C4_ref,23,4,0.290927,0.239317,0.343748,0,WEAK_INSTRUMENT
base,C4_ref,23,8,0.464217,0.389853,0.546437,0,WEAK_INSTRUMENT
base,C1_claim,23,1,-0.0106179,-0.0212897,0.000709504,0,WEAK_INSTRUMENT
base,C1_claim,23,2,-0.000638546,-0.0173647,0.0145619,0,WEAK_INSTRUMENT
base,C1_claim,23,4,0.00413938,-0.0220062,0.029291,0,WEAK_INSTRUMENT
base,C1_claim,23,8,0.0408752,-0.0037235,0.0825427,0,WEAK_INSTRUMENT
instruct,C4_ref,4,1,0.00231582,-0.00886059,0.0125121,0,WEAK_INSTRUMENT
instruct,C4_ref,4,2,0.00544885,-0.00747327,0.0188106,0,WEAK_INSTRUMENT
instruct,C4_ref,4,4,0.00524286,-0.0103685,0.0220657,0,WEAK_INSTRUMENT
instruct,C4_ref,4,8,0.111915,0.081537,0.145321,0,WEAK_INSTRUMENT
instruct,C1_claim,4,1,-0.00351331,-0.016695,0.00919443,0,WEAK_INSTRUMENT
instruct,C1_claim,4,2,-0.0111871,-0.0253343,0.00273632,0,WEAK_INSTRUMENT
instruct,C1_claim,4,4,0.00262811,-0.0148003,0.0206726,0,WEAK_INSTRUMENT
instruct,C1_claim,4,8,0.00544167,-0.0237074,0.0359004,0,WEAK_INSTRUMENT
